ETF,Model,Accuracy,Precision,Recall,ROC-AUC
SPY,Logistic Regression,0.49019607843137253,0.5833333333333334,0.4666666666666667,0.4365079365079365
SPY,Random Forest,0.5,0.5789473684210527,0.55,0.5059523809523809
SPY,XGBoost,0.49019607843137253,0.5666666666666667,0.5666666666666667,0.4662698412698413
QQQ,Logistic Regression,0.45098039215686275,0.5263157894736842,0.5084745762711864,0.3925896728419393
QQQ,Random Forest,0.49019607843137253,0.5402298850574713,0.7966101694915254,0.46866377611351995
QQQ,XGBoost,0.6078431372549019,0.6172839506172839,0.847457627118644,0.6393378005518328
EEM,Logistic Regression,0.4411764705882353,0.55,0.1864406779661017,0.5187229010642491
EEM,Random Forest,0.5392156862745098,0.6,0.6101694915254238,0.5210878990934174
EEM,XGBoost,0.5098039215686274,0.5818181818181818,0.5423728813559322,0.5009854158454868
TLT,Logistic Regression,0.4117647058823529,0.4375,0.5384615384615384,0.41500000000000004
TLT,Random Forest,0.4215686274509804,0.43636363636363634,0.46153846153846156,0.4003846153846154
TLT,XGBoost,0.5196078431372549,0.5263157894736842,0.5769230769230769,0.5115384615384615
GLD,Logistic Regression,0.5196078431372549,0.6666666666666666,0.41935483870967744,0.5411290322580645
GLD,Random Forest,0.5588235294117647,0.7297297297297297,0.43548387096774194,0.5705645161290323
GLD,XGBoost,0.4803921568627451,0.6046511627906976,0.41935483870967744,0.4951612903225806
